method,ndcg@10,map@10,recall@10,num_queries,split
bm25,0.6522849449944166,0.607113492063492,0.7756666666666666,300,test
dense,0.6450816521455776,0.5959314814814815,0.7833333333333333,300,test
hybrid,0.709552844742997,0.6657080026455027,0.8310000000000001,300,test
